c_id;date;death_amount;death_percent
AFG;1990;37231;21.33
AFG;1991;38315;21.01
AFG;1992;41172;21.19
AFG;1993;44488;21.37
AFG;1994;46634;21.09
AFG;1995;47566;21.28
AFG;1996;48617;21.47
AFG;1997;49703;21.38
AFG;1998;49746;20.64
AFG;1999;49349;21.55
AFG;2000;48763;21.5
AFG;2001;48660;21.42
AFG;2002;47732;21.27
AFG;2003;48687;21.67
AFG;2004;48337;21.65
AFG;2005;47107;21.39
AFG;2006;45691;21.04
AFG;2007;44161;20.71
AFG;2008;42696;20.49
AFG;2009;41348;20.27
AFG;2010;40545;19.99
AFG;2011;39893;19.78
AFG;2012;39363;19.5
AFG;2013;39187;19.31
AFG;2014;38711;18.81
AFG;2015;38227;18.38
AFG;2016;37865;17.94
AFG;2017;37535;17.98
AFG;2018;37160;16.53
AFG;2019;37033;16.61
ALB;1990;2965;17.65
ALB;1991;3038;17.61
ALB;1992;2928;17.43
ALB;1993;2800;17.17
ALB;1994;2632;16.88
ALB;1995;2660;16.79
ALB;1996;2685;16.59
ALB;1997;2686;15.08
ALB;1998;2661;15.97
ALB;1999;2611;15.63
ALB;2000;2537;15.27
ALB;2001;2416;14.87
ALB;2002;2481;14.63
ALB;2003;2595;14.39
ALB;2004;2563;14
ALB;2005;2474;13.6
ALB;2006;2315;13.1
ALB;2007;2192;12.63
ALB;2008;2199;12.27
ALB;2009;2150;11.93
ALB;2010;2130;11.55
ALB;2011;2157;11.28
ALB;2012;2161;10.99
ALB;2013;2176;10.74
ALB;2014;2214;10.51
ALB;2015;2248;10.27
ALB;2016;2253;10.06
ALB;2017;2260;9.88
ALB;2018;2268;9.72
ALB;2019;2276;9.54
DZA;1990;14223;10.9
DZA;1991;14437;10.96
DZA;1992;14648;10.99
DZA;1993;14899;11.03
DZA;1994;15168;11.01
DZA;1995;15368;11.05
DZA;1996;15558;11.2
DZA;1997;15818;11.17
DZA;1998;16020;11.31
DZA;1999;16478;11.58
DZA;2000;16634;11.56
DZA;2001;16673;11.51
DZA;2002;16651;11.42
DZA;2003;16588;11.23
DZA;2004;16605;11.2
DZA;2005;16605;11.06
DZA;2006;16651;10.92
DZA;2007;16694;10.76
DZA;2008;16748;10.62
DZA;2009;16923;10.52
DZA;2010;17155;10.48
DZA;2011;17633;10.51
DZA;2012;18170;10.58
DZA;2013;18803;10.68
DZA;2014;19530;10.77
DZA;2015;20168;10.8
DZA;2016;20400;10.7
DZA;2017;20756;10.63
DZA;2018;21459;10.66
DZA;2019;22162;10.73
ASM;1990;15;7.18
ASM;1991;15;6.86
ASM;1992;15;6.56
ASM;1993;15;6.29
ASM;1994;15;5.99
ASM;1995;14;5.72
ASM;1996;14;5.53
ASM;1997;14;5.39
ASM;1998;14;5.26
ASM;1999;14;5.14
ASM;2000;14;4.96
ASM;2001;14;4.81
ASM;2002;14;4.66
ASM;2003;14;4.45
ASM;2004;13;4.39
ASM;2005;13;4.32
ASM;2006;14;4.31
ASM;2007;14;4.28
ASM;2008;14;4.27
ASM;2009;14;3.98
ASM;2010;14;4.21
ASM;2011;14;4.14
ASM;2012;14;4.04
ASM;2013;14;3.93
ASM;2014;14;3.83
ASM;2015;14;3.77
ASM;2016;14;3.73
ASM;2017;14;3.7
ASM;2018;14;3.65
ASM;2019;14;3.52
AND;1990;10;3.99
AND;1991;10;3.86
AND;1992;11;3.73
AND;1993;11;3.64
AND;1994;12;3.61
AND;1995;12;3.64
AND;1996;12;3.63
AND;1997;13;3.63
AND;1998;13;3.65
AND;1999;14;3.71
AND;2000;14;3.72
AND;2001;15;3.66
AND;2002;15;3.6
AND;2003;15;3.47
AND;2004;15;3.38
AND;2005;15;3.28
AND;2006;15;3.22
AND;2007;15;3.12
AND;2008;15;3.04
AND;2009;16;3
AND;2010;16;2.96
AND;2011;15;2.92
AND;2012;15;2.86
AND;2013;15;2.81
AND;2014;15;2.72
AND;2015;15;2.61
AND;2016;14;2.37
AND;2017;13;2.17
AND;2018;13;2.19
AND;2019;14;2.17
AGO;1990;20506;13.41
AGO;1991;20780;13.52
AGO;1992;21074;13.41
AGO;1993;21537;12.83
AGO;1994;21903;13.22
AGO;1995;22063;13.29
AGO;1996;21939;13.11
AGO;1997;21920;12.84
AGO;1998;22098;12.33
