c_id;date;liverc_amount;liporalc_amount;lungc_amount;total_percent
AFG;1990;851;89;983;0.15996
AFG;1991;866;89;982;0.15846
AFG;1992;890;91;989;0.15739
AFG;1993;914;93;995;0.15757
AFG;1994;933;94;996;0.15803
AFG;1995;946;94;995;0.15798
AFG;1996;962;95;994;0.158
AFG;1997;976;95;993;0.15818
AFG;1998;985;96;990;0.15833
AFG;1999;994;96;987;0.15895
AFG;2000;1002;96;989;0.16006
AFG;2001;1018;96;1002;0.16133
AFG;2002;1019;96;1008;0.1598
AFG;2003;1036;97;1024;0.16031
AFG;2004;1054;98;1041;0.16071
AFG;2005;1064;99;1051;0.16012
AFG;2006;1057;100;1064;0.15935
AFG;2007;1066;101;1078;0.15848
AFG;2008;1079;103;1097;0.15778
AFG;2009;1092;105;1116;0.15694
AFG;2010;1111;107;1136;0.15637
AFG;2011;1130;109;1164;0.15562
AFG;2012;1155;112;1199;0.15509
AFG;2013;1181;115;1229;0.15451
AFG;2014;1210;118;1264;0.15432
AFG;2015;1238;122;1300;0.15406
AFG;2016;1271;126;1343;0.15393
AFG;2017;1305;131;1396;0.15404
AFG;2018;1341;135;1448;0.1539
AFG;2019;1376;140;1492;0.1533
ALB;1990;233;40;622;0.12546
ALB;1991;244;40;637;0.12592
ALB;1992;248;39;620;0.12053
ALB;1993;254;36;606;0.11537
ALB;1994;245;32;588;0.10867
ALB;1995;268;31;625;0.11114
ALB;1996;291;31;669;0.11431
ALB;1997;307;31;701;0.11522
ALB;1998;314;31;725;0.11517
ALB;1999;317;31;738;0.11591
ALB;2000;316;31;748;0.11571
ALB;2001;301;31;734;0.11195
ALB;2002;295;34;765;0.11459
ALB;2003;290;37;806;0.11899
ALB;2004;272;39;817;0.11896
ALB;2005;246;39;804;0.11662
ALB;2006;224;38;780;0.11155
ALB;2007;211;38;768;0.10751
ALB;2008;208;38;796;0.10827
ALB;2009;207;38;809;0.10733
ALB;2010;214;39;826;0.1072
ALB;2011;223;41;873;0.10854
ALB;2012;230;42;906;0.10886
ALB;2013;238;44;944;0.10951
ALB;2014;249;46;994;0.11133
ALB;2015;262;48;1043;0.11332
ALB;2016;271;49;1073;0.1135
ALB;2017;279;50;1103;0.11348
ALB;2018;287;51;1131;0.11336
ALB;2019;294;53;1158;0.11327
DZA;1990;209;118;1420;0.09059
DZA;1991;220;122;1494;0.08963
DZA;1992;234;125;1517;0.08818
DZA;1993;246;128;1543;0.08698
DZA;1994;257;131;1567;0.086
DZA;1995;268;134;1600;0.08499
DZA;1996;282;136;1592;0.08357
DZA;1997;296;138;1585;0.08213
DZA;1998;309;140;1579;0.08048
DZA;1999;325;144;1596;0.07986
DZA;2000;338;147;1619;0.07904
DZA;2001;340;149;1635;0.07821
DZA;2002;354;153;1689;0.07775
DZA;2003;372;157;1755;0.07739
DZA;2004;392;161;1834;0.07761
DZA;2005;412;166;1932;0.07789
DZA;2006;429;170;2001;0.0778
DZA;2007;450;176;2104;0.07793
DZA;2008;472;182;2213;0.07809
DZA;2009;499;188;2340;0.07832
DZA;2010;519;193;2415;0.07808
DZA;2011;529;199;2492;0.07764
DZA;2012;546;206;2572;0.07715
DZA;2013;563;212;2646;0.07653
DZA;2014;582;218;2733;0.07621
DZA;2015;603;226;2829;0.07604
DZA;2016;622;233;2936;0.0756
DZA;2017;643;242;3050;0.07547
DZA;2018;665;251;3165;0.07573
DZA;2019;688;260;3291;0.07585
ASM;1990;1;0;6;0.14669
ASM;1991;1;0;6;0.14584
ASM;1992;1;0;7;0.14476
ASM;1993;1;0;7;0.14397
ASM;1994;2;0;7;0.14421
ASM;1995;2;0;7;0.14411
ASM;1996;2;0;8;0.14367
ASM;1997;2;0;8;0.14285
ASM;1998;2;0;8;0.14385
ASM;1999;2;0;8;0.1428
ASM;2000;2;0;8;0.14366
ASM;2001;2;0;8;0.14412
ASM;2002;2;0;9;0.14506
ASM;2003;2;0;9;0.14644
ASM;2004;2;0;9;0.14748
ASM;2005;3;0;9;0.14828
ASM;2006;3;0;10;0.14949
ASM;2007;3;0;10;0.14973
ASM;2008;3;0;10;0.14992
ASM;2009;3;0;10;0.15027
ASM;2010;3;0;10;0.15042
ASM;2011;3;0;11;0.15199
ASM;2012;3;0;11;0.15288
ASM;2013;3;0;11;0.15357
ASM;2014;3;0;11;0.15381
ASM;2015;3;0;12;0.15439
ASM;2016;3;0;12;0.15446
ASM;2017;3;0;12;0.15402
ASM;2018;3;0;12;0.15361
ASM;2019;3;0;13;0.15315
AND;1990;5;1;24;0.19433
AND;1991;5;1;25;0.19379
AND;1992;6;1;27;0.19379
AND;1993;6;1;28;0.19206
AND;1994;6;1;29;0.19037
AND;1995;6;1;29;0.18746
AND;1996;7;1;30;0.18517
AND;1997;7;1;31;0.18233
AND;1998;7;2;31;0.18008
AND;1999;7;2;32;0.17817
AND;2000;8;2;33;0.17673
AND;2001;8;2;34;0.17525
AND;2002;8;2;35;0.17345
AND;2003;9;2;36;0.17223
AND;2004;9;2;37;0.17219
AND;2005;9;2;38;0.17073
AND;2006;9;2;39;0.16985
AND;2007;10;2;40;0.16788
AND;2008;10;2;41;0.16679
AND;2009;10;2;42;0.16636
AND;2010;11;2;43;0.16527
AND;2011;10;2;40;0.16391
AND;2012;10;2;39;0.16321
AND;2013;11;2;40;0.16352
AND;2014;11;2;41;0.16365
AND;2015;12;2;42;0.16269
AND;2016;12;2;43;0.16227
AND;2017;12;2;45;0.16191
AND;2018;13;2;46;0.16175
AND;2019;13;2;48;0.16138
AGO;1990;117;88;586;0.11702
AGO;1991;120;91;600;0.11691
AGO;1992;124;94;616;0.11726
AGO;1993;129;97;635;0.11808
AGO;1994;134;100;650;0.11847
AGO;1995;137;102;660;0.11756
AGO;1996;138;103;664;0.11538
AGO;1997;142;105;677;0.11493
AGO;1998;150;111;706;0.11665
AGO;1999;156;116;729;0.1179
AGO;2000;161;119;744;0.11728
AGO;2001;165;121;751;0.11523
AGO;2002;170;122;751;0.11388
AGO;2003;177;127;772;0.11424
AGO;2004;185;134;808;0.11548
AGO;2005;189;137;821;0.11389
AGO;2006;191;144;859;0.11377
AGO;2007;196;150;889;0.1124
AGO;2008;202;157;932;0.11271
AGO;2009;208;166;984;0.11332
AGO;2010;217;175;1036;0.11375
AGO;2011;224;184;1096;0.11425
AGO;2012;233;193;1159;0.11464
AGO;2013;242;200;1211;0.11416
AGO;2014;248;205;1245;0.1124
AGO;2015;258;214;1304;0.11275
AGO;2016;264;222;1361;0.11255
AGO;2017;276;233;1430;0.11313
AGO;2018;289;245;1507;0.11414
AGO;2019;302;256;1582;0.1147
ATG;1990;4;1;5;0.13707
ATG;1991;4;1;5;0.13921
ATG;1992;4;1;5;0.1405
ATG;1993;4;1;6;0.14842
ATG;1994;4;1;6;0.14995
ATG;1995;4;1;6;0.15021
ATG;1996;3;1;5;0.13907
ATG;1997;3;1;5;0.13592
ATG;1998;2;1;5;0.13551
ATG;1999;2;1;5;0.13641
ATG;2000;2;1;6;0.13834
ATG;2001;2;1;6;0.13653
ATG;2002;2;1;6;0.13626
ATG;2003;2;1;6;0.13494
ATG;2004;2;1;6;0.13472
ATG;2005;2;1;6;0.1336
ATG;2006;2;1;6;0.1368
ATG;2007;2;1;8;0.1586
ATG;2008;2;1;8;0.15879
ATG;2009;2;1;7;0.14741
ATG;2010;2;1;7;0.14603
ATG;2011;2;1;8;0.14641
ATG;2012;2;1;8;0.14705
ATG;2013;2;1;8;0.14507
ATG;2014;2;2;8;0.14658
ATG;2015;2;2;8;0.14698
ATG;2016;3;2;9;0.14715
ATG;2017;3;2;9;0.14654
ATG;2018;3;2;9;0.14606
ATG;2019;3;2;9;0.14611
ARG;1990;481;548;10215;0.17796
ARG;1991;472;547;10327;0.17689
ARG;1992;472;556;10613;0.17807
ARG;1993;473;554;10673;0.17695
ARG;1994;473;559;10708;0.17503
ARG;1995;481;571;10845;0.17501
ARG;1996;490;601;11107;0.17646
ARG;1997;502;636;11301;0.17786
ARG;1998;527;669;11509;0.17954
ARG;1999;551;690;11646;0.1799
ARG;2000;573;693;11386;0.17607
ARG;2001;602;705;11456;0.17535
ARG;2002;635;721;11723;0.17594
ARG;2003;666;740;11825;0.17583
ARG;2004;687;727;11699;0.17227
ARG;2005;712;719;11675;0.16929
ARG;2006;753;724;11860;0.16808
ARG;2007;804;748;12259;0.16921
ARG;2008;840;741;12195;0.16487
ARG;2009;868;740;12229;0.16293
ARG;2010;917;748;12366;0.16189
ARG;2011;959;753;12561;0.16065
ARG;2012;999;760;12659;0.15922
ARG;2013;1039;771;12735;0.15763
ARG;2014;1071;771;12687;0.1552
ARG;2015;1111;779;12879;0.1555
ARG;2016;1149;810;13298;0.15862
ARG;2017;1154;826;13542;0.15965
ARG;2018;1157;830;13627;0.15805
ARG;2019;1172;844;13879;0.15802
ARM;1990;29;36;1069;0.14833
ARM;1991;31;38;1123;0.15022
ARM;1992;33;42;1188;0.15844
ARM;1993;34;44;1215;0.15958
ARM;1994;34;42;1159;0.1506
ARM;1995;36;41;1148;0.14781
ARM;1996;38;41;1176;0.14856
ARM;1997;39;39;1150;0.14296
ARM;1998;42;38;1145;0.14223
ARM;1999;45;39;1190;0.14328
ARM;2000;50;38;1203;0.14137
ARM;2001;58;40;1248;0.14341
ARM;2002;70;41;1277;0.14353
ARM;2003;87;42;1298;0.14627
ARM;2004;119;43;1288;0.14585
ARM;2005;161;45;1312;0.14806
ARM;2006;222;47;1343;0.15048
ARM;2007;225;47;1320;0.14925
ARM;2008;307;49;1357;0.15334
ARM;2009;342;49;1347;0.15389
ARM;2010;363;50;1318;0.15346
ARM;2011;373;51;1310;0.1522
ARM;2012;373;48;1270;0.1499
