c_id;date;percent_gdp
AFG;2002;9.44
AFG;2003;8.94
AFG;2004;9.81
AFG;2005;9.95
AFG;2006;10.62
AFG;2007;9.9
AFG;2008;10.26
AFG;2009;9.82
AFG;2010;8.57
AFG;2011;8.56
AFG;2012;7.9
AFG;2013;8.81
AFG;2014;9.53
AFG;2015;10.11
AFG;2016;11.82
AFG;2017;12.62
AFG;2018;14.13
AFG;2019;13.24
ALB;2000;7.23
ALB;2001;7.14
ALB;2002;6.91
ALB;2003;7.06
ALB;2004;6.77
ALB;2005;6.34
ALB;2006;6.01
ALB;2007;6.32
ALB;2008;5.14
ALB;2009;4.6
ALB;2010;4.75
ALB;2011;4.8
ALB;2012;5.06
ALB;2013;5.39
ALB;2014;5.5
ALB;2015;4.9
ALB;2016;4.92
ALB;2017;5.01
ALB;2018;5.23
DZA;2000;3.49
DZA;2001;3.84
DZA;2002;3.73
DZA;2003;3.6
DZA;2004;3.54
DZA;2005;3.24
DZA;2006;3.36
DZA;2007;3.82
DZA;2008;4.2
DZA;2009;5.36
DZA;2010;5.12
DZA;2011;5.27
DZA;2012;6
DZA;2013;6.04
DZA;2014;6.55
DZA;2015;6.98
DZA;2016;6.61
DZA;2017;6.28
DZA;2018;6.16
DZA;2019;6.24
AND;2000;5.96
AND;2001;5.87
AND;2002;6.1
AND;2003;5.64
AND;2004;5.38
AND;2005;5.74
AND;2006;5.06
AND;2007;5.03
AND;2008;5.79
AND;2009;6.24
AND;2010;6.58
AND;2011;6.09
AND;2012;6.13
AND;2013;6.16
AND;2014;6.13
AND;2015;6.28
AND;2016;6.31
AND;2017;6.59
AND;2018;6.75
AND;2019;6.71
AGO;2000;1.91
AGO;2001;4.48
AGO;2002;3.33
AGO;2003;3.55
AGO;2004;3.97
AGO;2005;2.85
AGO;2006;2.69
AGO;2007;2.97
AGO;2008;3.32
AGO;2009;3.84
AGO;2010;2.7
AGO;2011;2.65
AGO;2012;2.4
AGO;2013;2.73
AGO;2014;2.43
AGO;2015;2.61
AGO;2016;2.71
AGO;2017;2.79
AGO;2018;2.54
AGO;2019;2.53
ATG;2000;4.69
ATG;2001;5.44
ATG;2002;5.29
ATG;2003;5.59
ATG;2004;5.12
ATG;2005;4.99
ATG;2006;4.63
ATG;2007;4.45
ATG;2008;4.2
ATG;2009;4.19
ATG;2010;5.38
ATG;2011;5.44
ATG;2012;5.48
ATG;2013;5.51
ATG;2014;5.87
ATG;2015;5.28
ATG;2016;5.12
ATG;2017;4.87
ATG;2018;4.85
ATG;2019;4.44
ARG;2000;8.22
ARG;2001;8.37
ARG;2002;7.39
ARG;2003;6.89
ARG;2004;7.23
ARG;2005;7.61
ARG;2006;7.64
ARG;2007;7.83
ARG;2008;8.18
ARG;2009;9.46
ARG;2010;9.45
ARG;2011;9.42
ARG;2012;9.83
ARG;2013;9.78
ARG;2014;9.67
ARG;2015;10.23
ARG;2016;9
ARG;2017;10.44
ARG;2018;9.67
ARG;2019;9.51
ARM;2000;4.2
ARM;2001;4.65
ARM;2002;7.61
ARM;2003;7.18
ARM;2004;6.06
ARM;2005;5.86
ARM;2006;5.85
ARM;2007;5.5
ARM;2008;6.64
ARM;2009;8.44
ARM;2010;9.24
ARM;2011;9.38
ARM;2012;9.13
ARM;2013;10.32
ARM;2014;10.18
ARM;2015;10.12
ARM;2016;9.95
ARM;2017;10.36
ARM;2018;10.01
ARM;2019;11.34
AUS;2000;7.61
AUS;2001;7.7
AUS;2002;7.89
AUS;2003;7.9
AUS;2004;8.11
AUS;2005;7.99
AUS;2006;7.99
AUS;2007;8.07
AUS;2008;8.26
AUS;2009;8.56
AUS;2010;8.43
AUS;2011;8.54
AUS;2012;8.68
AUS;2013;8.76
AUS;2014;9.04
AUS;2015;9.33
AUS;2016;9.25
AUS;2017;9.27
AUS;2018;9.16
AUS;2019;9.91
AUT;2000;9.2
AUT;2001;9.27
AUT;2002;9.39
AUT;2003;9.55
AUT;2004;9.71
AUT;2005;9.63
AUT;2006;9.53
AUT;2007;9.53
AUT;2008;9.73
AUT;2009;10.23
AUT;2010;10.22
AUT;2011;10.03
AUT;2012;10.2
AUT;2013;10.29
AUT;2014;10.37
AUT;2015;10.37
AUT;2016;10.35
AUT;2017;10.38
AUT;2018;10.32
AUT;2019;10.43
AZE;2000;2.95
AZE;2001;2.76
AZE;2002;2.73
AZE;2003;2.73
AZE;2004;2.67
AZE;2005;2.26
AZE;2006;2.07
AZE;2007;1.99
AZE;2008;1.94
AZE;2009;2.61
AZE;2010;2.49
AZE;2011;2.45
AZE;2012;2.96
AZE;2013;3.04
AZE;2014;3.38
AZE;2015;4.11
AZE;2016;4.04
AZE;2017;3.74
AZE;2018;3.56
AZE;2019;4.04
BHS;2000;3.8
BHS;2001;3.92
BHS;2002;3.81
BHS;2003;4.02
BHS;2004;4.05
BHS;2005;4.03
BHS;2006;4.31
BHS;2007;4.5
BHS;2008;4.86
BHS;2009;5.15
BHS;2010;5.26
BHS;2011;5.32
BHS;2012;5.32
BHS;2013;5.59
BHS;2014;5.57
BHS;2015;5.23
BHS;2016;5.62
BHS;2017;6.61
BHS;2018;5.93
BHS;2019;5.75
BHR;2000;3.56
BHR;2001;3.68
BHR;2002;3.85
BHR;2003;3.99
BHR;2004;3.47
BHR;2005;3.18
BHR;2006;3.06
BHR;2007;3.3
BHR;2008;3.29
BHR;2009;4.06
BHR;2010;3.84
BHR;2011;3.58
BHR;2012;4.11
BHR;2013;4.31
BHR;2014;4.41
BHR;2015;4.99
BHR;2016;4.86
BHR;2017;4.74
BHR;2018;4.14
BHR;2019;4.01
BGD;2000;2.07
BGD;2001;2.06
BGD;2002;2.26
BGD;2003;2.31
BGD;2004;2.34
BGD;2005;2.41
BGD;2006;2.48
BGD;2007;2.56
BGD;2008;2.49
BGD;2009;2.56
BGD;2010;2.68
BGD;2011;2.76
BGD;2012;2.75
BGD;2013;2.65
BGD;2014;2.66
BGD;2015;2.64
BGD;2016;2.47
BGD;2017;2.43
BGD;2018;2.51
BGD;2019;2.48
BRB;2000;5.33
BRB;2001;5.53
BRB;2002;5.86
BRB;2003;6.68
BRB;2004;7.32
BRB;2005;6.77
BRB;2006;6.58
BRB;2007;6.06
BRB;2008;6.48
BRB;2009;7.15
BRB;2010;6.77
BRB;2011;6.9
BRB;2012;7.78
BRB;2013;7.5
BRB;2014;7
BRB;2015;6.77
BRB;2016;6.68
BRB;2017;6.62
BRB;2018;6.56
BRB;2019;6.3
BLR;2000;5.28
BLR;2001;5.71
BLR;2002;5.62
BLR;2003;5.77
BLR;2004;5.74
BLR;2005;6.07
BLR;2006;5.57
BLR;2007;5.69
BLR;2008;5.29
BLR;2009;5.39
BLR;2010;5.66
BLR;2011;4.87
BLR;2012;5.25
BLR;2013;5.7
BLR;2014;5.39
BLR;2015;6.07
BLR;2016;5.91
BLR;2017;5.76
BLR;2018;5.53
BLR;2019;5.86
BEL;2000;8
BEL;2001;8.15
BEL;2002;8.32
BEL;2003;9.21
BEL;2004;9.37
BEL;2005;9.26
BEL;2006;9.16
BEL;2007;9.17
BEL;2008;9.63
BEL;2009;10.35
BEL;2010;10.23
BEL;2011;10.39
BEL;2012;10.51
BEL;2013;10.56
BEL;2014;10.59
BEL;2015;10.43
BEL;2016;10.77
BEL;2017;10.78
BEL;2018;10.76
BEL;2019;10.66
BLZ;2000;3.99
BLZ;2001;4.63
BLZ;2002;4.71
BLZ;2003;4.62
BLZ;2004;4.48
BLZ;2005;4.5
BLZ;2006;4.56
BLZ;2007;5.33
BLZ;2008;5.68
BLZ;2009;5.85
BLZ;2010;5.68
BLZ;2011;5.72
BLZ;2012;5.47
BLZ;2013;5.65
BLZ;2014;6.19
BLZ;2015;5.94
BLZ;2016;6.15
BLZ;2017;5.79
BLZ;2018;5.82
BLZ;2019;5.97
BEN;2000;3.1
BEN;2001;3.25
BEN;2002;3.04
BEN;2003;3.04
BEN;2004;3.08
BEN;2005;2.93
BEN;2006;2.97
BEN;2007;2.89
BEN;2008;2.7
BEN;2009;2.83
BEN;2010;3
BEN;2011;3.1
BEN;2012;3.41
BEN;2013;2.86
BEN;2014;2.67
BEN;2015;2.91
BEN;2016;2.74
BEN;2017;2.62
BEN;2018;2.5
BEN;2019;2.39
BTN;2000;4.45
BTN;2001;5
BTN;2002;4.6
BTN;2003;4.13
BTN;2004;4.6
BTN;2005;4.13
BTN;2006;4.36
BTN;2007;4.09
BTN;2008;3.38
BTN;2009;3.55
BTN;2010;3.56
BTN;2011;3.35
BTN;2012;3.62
BTN;2013;3.71
BTN;2014;3.56
BTN;2015;3.76
BTN;2016;3.58
BTN;2017;3.34
BTN;2018;3.24
BTN;2019;3.61
BOL;2000;4.4
BOL;2001;4.83
BOL;2002;4.9
BOL;2003;5.2
BOL;2004;4.86
BOL;2005;5.07
BOL;2006;4.66
BOL;2007;4.7
BOL;2008;4.61
BOL;2009;5.17
BOL;2010;5.2
BOL;2011;5.17
BOL;2012;5.25
BOL;2013;5.57
BOL;2014;5.9
BOL;2015;6.55
BOL;2016;6.83
BOL;2017;6.49
BOL;2018;6.64
BOL;2019;6.92
BIH;2000;7.65
BIH;2001;7.28
BIH;2002;7.13
BIH;2003;8.03
BIH;2004;9.06
BIH;2005;9.05
BIH;2006;9.17
BIH;2007;9.53
BIH;2008;9.69
BIH;2009;9.02
BIH;2010;9.02
BIH;2011;9.18
BIH;2012;9.49
BIH;2013;9.45
BIH;2014;9.49
BIH;2015;9.35
BIH;2016;9.25
BIH;2017;8.94
BIH;2018;8.89
BIH;2019;9.05
BWA;2000;5.83
BWA;2001;6.16
BWA;2002;6.42
BWA;2003;6.18
BWA;2004;5.8
BWA;2005;5.03
BWA;2006;4.77
BWA;2007;5.33
BWA;2008;5.78
BWA;2009;6.53
BWA;2010;6.19
BWA;2011;5.78
BWA;2012;6.14
BWA;2013;6.22
BWA;2014;5.6
BWA;2015;5.73
BWA;2016;5.56
BWA;2017;6.13
BWA;2018;5.97
BWA;2019;6.05
BRA;2000;8.33
BRA;2001;8.55
BRA;2002;8.7
BRA;2003;8.19
BRA;2004;8.12
BRA;2005;8.04
BRA;2006;8.25
BRA;2007;8.2
BRA;2008;8.01
BRA;2009;8.39
BRA;2010;7.95
BRA;2011;7.79
BRA;2012;7.74
BRA;2013;7.98
BRA;2014;8.4
BRA;2015;8.91
BRA;2016;9.17
BRA;2017;9.47
BRA;2018;9.46
BRA;2019;9.59
BRN;2000;2.55
BRN;2001;2.55
BRN;2002;2.54
BRN;2003;2.61
BRN;2004;2.56
BRN;2005;2.24
BRN;2006;1.92
BRN;2007;1.96
BRN;2008;1.88
BRN;2009;2.39
BRN;2010;2.28
BRN;2011;1.86
BRN;2012;1.85
BRN;2013;1.9
BRN;2014;1.91
BRN;2015;2.39
BRN;2016;2.55
BRN;2017;2.27
BRN;2018;2.41
BRN;2019;2.16
BGR;2000;5.83
BGR;2001;6.86
BGR;2002;7.08
BGR;2003;7.2
BGR;2004;6.89
BGR;2005;6.89
BGR;2006;6.53
BGR;2007;6.16
BGR;2008;6.29
BGR;2009;6.6
BGR;2010;7.14
BGR;2011;7.14
BGR;2012;7.58
BGR;2013;7.17
BGR;2014;7.71
BGR;2015;7.41
BGR;2016;7.48
BGR;2017;7.52
BGR;2018;7.34
BGR;2019;7.13
BFA;2000;2.95
BFA;2001;2.89
BFA;2002;2.97
BFA;2003;3.14
BFA;2004;4.22
BFA;2005;3.95
BFA;2006;4.51
BFA;2007;5.23
BFA;2008;4.65
BFA;2009;5.08
BFA;2010;5.24
BFA;2011;4.65
BFA;2012;4.6
BFA;2013;5.56
BFA;2014;5
BFA;2015;5.13
BFA;2016;5.96
BFA;2017;6.03
BFA;2018;4.91
BFA;2019;5.46
BDI;2000;6.18
BDI;2001;6.4
BDI;2002;6.47
BDI;2003;6.31
BDI;2004;7.7
BDI;2005;8.42
BDI;2006;9.94
BDI;2007;10.58
BDI;2008;9.24
BDI;2009;10.35
BDI;2010;11.28
BDI;2011;10.07
BDI;2012;8.53
BDI;2013;8.54
BDI;2014;7.32
BDI;2015;6.43
BDI;2016;7.72
