c_id;date;percent_anxiety;percent_druguse;percent_depression;percent_alcohol
AFG;1990;4.84;0.45;5.13;0.44
AFG;1991;4.82;0.45;5.12;0.44
AFG;1992;4.8;0.44;5.11;0.45
AFG;1993;4.79;0.44;5.1;0.45
AFG;1994;4.78;0.43;5.1;0.45
AFG;1995;4.78;0.43;5.1;0.45
AFG;1996;4.78;0.43;5.1;0.44
AFG;1997;4.78;0.42;5.11;0.44
AFG;1998;4.78;0.42;5.11;0.44
AFG;1999;4.78;0.42;5.12;0.44
AFG;2000;4.79;0.42;5.12;0.44
AFG;2001;4.79;0.43;5.12;0.44
AFG;2002;4.79;0.44;5.12;0.44
AFG;2003;4.79;0.45;5.11;0.44
AFG;2004;4.79;0.47;5.1;0.44
AFG;2005;4.8;0.48;5.1;0.44
AFG;2006;4.81;0.5;5.1;0.44
AFG;2007;4.81;0.51;5.1;0.44
AFG;2008;4.82;0.52;5.1;0.44
AFG;2009;4.84;0.54;5.1;0.44
AFG;2010;4.85;0.54;5.1;0.44
AFG;2011;4.86;0.55;5.1;0.44
AFG;2012;4.89;0.55;5.1;0.44
AFG;2013;4.92;0.56;5.11;0.44
AFG;2014;4.95;0.56;5.11;0.43
AFG;2015;4.97;0.56;5.11;0.43
AFG;2016;4.99;0.58;5.11;0.43
AFG;2017;4.99;0.59;5.11;0.44
AFG;2018;5.01;0.57;5.12;0.44
AFG;2019;5.03;0.52;5.13;0.44
ALB;1990;3.85;0.47;2.51;1.69
ALB;1991;3.86;0.47;2.51;1.7
ALB;1992;3.87;0.47;2.51;1.71
ALB;1993;3.88;0.47;2.52;1.72
ALB;1994;3.89;0.47;2.53;1.73
ALB;1995;3.89;0.47;2.53;1.73
ALB;1996;3.9;0.47;2.54;1.73
ALB;1997;3.9;0.47;2.55;1.73
ALB;1998;3.91;0.46;2.56;1.73
ALB;1999;3.92;0.46;2.58;1.73
ALB;2000;3.93;0.46;2.59;1.73
ALB;2001;3.93;0.46;2.6;1.73
ALB;2002;3.94;0.46;2.61;1.73
ALB;2003;3.95;0.46;2.62;1.73
ALB;2004;3.95;0.46;2.63;1.73
ALB;2005;3.96;0.46;2.63;1.73
ALB;2006;3.96;0.46;2.63;1.73
ALB;2007;3.97;0.47;2.62;1.74
ALB;2008;3.98;0.47;2.62;1.74
ALB;2009;4;0.47;2.61;1.74
ALB;2010;4.01;0.47;2.61;1.74
ALB;2011;4.02;0.48;2.61;1.74
ALB;2012;4.04;0.48;2.61;1.74
ALB;2013;4.06;0.48;2.61;1.73
ALB;2014;4.07;0.48;2.61;1.72
ALB;2015;4.08;0.48;2.61;1.71
ALB;2016;4.08;0.49;2.61;1.69
ALB;2017;4.07;0.49;2.61;1.67
ALB;2018;4.08;0.49;2.62;1.7
ALB;2019;4.1;0.49;2.63;1.79
DZA;1990;4.85;0.33;4.46;0.44
DZA;1991;4.85;0.34;4.44;0.44
DZA;1992;4.85;0.35;4.43;0.44
DZA;1993;4.85;0.36;4.41;0.44
DZA;1994;4.86;0.36;4.41;0.44
DZA;1995;4.86;0.37;4.4;0.44
DZA;1996;4.86;0.37;4.39;0.44
DZA;1997;4.86;0.37;4.39;0.44
DZA;1998;4.86;0.38;4.38;0.44
DZA;1999;4.87;0.38;4.38;0.44
DZA;2000;4.87;0.39;4.38;0.44
DZA;2001;4.87;0.39;4.37;0.44
DZA;2002;4.88;0.4;4.37;0.44
DZA;2003;4.89;0.4;4.36;0.44
