c_id;date;amount_urban;amount_rural
AFG;1960;755835;8241132
AFG;1961;796271;8373135
AFG;1962;839385;8512057
AFG;1963;885227;8657973
AFG;1964;934134;8810638
AFG;1965;986074;8970244
AFG;1966;1041191;9133649
AFG;1967;1099273;9300663
AFG;1968;1161355;9475709
AFG;1969;1228273;9665499
AFG;1970;1300949;9872705
AFG;1971;1379464;10095986
AFG;1972;1463291;10327931
AFG;1973;1551037;10557926
AFG;1974;1640869;10772091
AFG;1975;1730929;10958235
AFG;1976;1821611;11121482
AFG;1977;1912077;11259217
AFG;1978;1997578;11343621
AFG;1979;2070936;11340124
AFG;1980;2136372;11220128
AFG;1981;2181493;10990186
AFG;1982;2208965;10673553
AFG;1983;2225071;10312661
AFG;1984;2241321;9962985
AFG;1985;2267901;9670303
AFG;1986;2305807;9430370
AFG;1987;2357346;9247192
AFG;1988;2439549;9178459
AFG;1989;2502908;9365965
AFG;1990;2628555;9783756
AFG;1991;2828169;10470847
AFG;1992;3093388;11392155
AFG;1993;3391712;12424889
AFG;1994;3677087;13398641
AFG;1995;3916250;14194412
AFG;1996;4093837;14759607
AFG;1997;4220821;15136305
AFG;1998;4321585;15416185
AFG;1999;4434762;15736085
AFG;2000;4587799;16192158
AFG;2001;4790054;16816938
AFG;2002;5031158;17569616
AFG;2003;5293385;18387486
AFG;2004;5563505;19163184
AFG;2005;5824290;19829984
AFG;2006;6055021;20378037
AFG;2007;6263748;20836794
AFG;2008;6464836;21257445
AFG;2009;6680730;21714076
AFG;2010;6927765;22257746
AFG;2011;7212518;22904893
AFG;2012;7528589;23632789
AFG;2013;7865068;24404524
AFG;2014;8204880;25165924
AFG;2015;8535606;25877997
AFG;2016;8852834;26530194
AFG;2017;9164768;27131343
AFG;2018;9476982;27694940
AFG;2019;9797274;28244483
AFG;2020;10131490;28796851
ALB;1960;493982;1114818
ALB;1961;513592;1146208
ALB;1962;530766;1180553
ALB;1963;547928;1214693
ALB;1964;565248;1248887
ALB;1965;582374;1282417
ALB;1966;599300;1315273
ALB;1967;616687;1348911
ALB;1968;635924;1386348
ALB;1969;656733;1424962
ALB;1970;677801;1457678
ALB;1971;698647;1489206
ALB;1972;720649;1522477
ALB;1973;742333;1554419
ALB;1974;764166;1585958
ALB;1975;786668;1618163
ALB;1976;809052;1649474
ALB;1977;832109;1681437
ALB;1978;854618;1711648
ALB;1979;876974;1740858
ALB;1980;902120;1769877
ALB;1981;927513;1798543
ALB;1982;954645;1829633
ALB;1983;982645;1861315
ALB;1984;1011235;1893194
